"Dictamen" "Antig_feina" "Vivenda" "Plaç" "Edat" "Estat_civil" "Registres" "Tipus_feina" "Despeses" "Ingressos" "Patrimoni" "Carrecs_pat" "Import_sol" "Preu_finan" "Rati_fin" "Estalvi"
"475" "positiu" 1 "escriptura" 36 41 "casat" "reg_no" "fixe" 75 400 5500 0 1800 2600 69.2307692307692 6.5
"476" "positiu" 6 "escriptura" 48 31 "casat" "reg_no" "fixe" 60 251 3000 400 1000 1208 82.7814569536424 8.976
"477" "positiu" 2 "lloguer" 60 23 "solter" "reg_no" "fixe" 58 225 0 0 800 975 82.0512820512821 12.525
"478" "positiu" 2 "pares" 60 34 "solter" "reg_no" "fixe" 35 140 0 0 1200 1274 94.1915227629513 5.25
"479" "positiu" 15 "escriptura" 48 34 "divorciat" "reg_no" "autonom" 45 108 5000 0 900 1197 75.187969924812 3.36
"480" "positiu" 7 "lloguer" 60 38 "casat" "reg_no" "autonom" 107 320 1500 0 1050 1092 96.1538461538462 12.1714285714286
"481" "positiu" 0 "escriptura" 36 55 "casat" "reg_si" "autonom" 45 400 16000 0 900 1100 81.8181818181818 14.2
"482" "positiu" 1 "lloguer" 60 54 "casat" "reg_no" "altres sit" 54 87 8000 0 1000 1202 83.1946755407654 1.98
"483" "negatiu" 2 "pares" 54 24 "solter" "reg_si" "autonom" 35 80 0 0 1800 2646 68.0272108843537 1.35
"484" "negatiu" 15 "escriptura" 60 37 "casat" "reg_no" "altres sit" 90 90 5000 1800 1500 1816 82.5991189427313 -0.72
"485" "negatiu" 0 "lloguer" 60 43 "casat" "reg_no" "autonom" 75 160 0 0 1400 1700 82.3529411764706 3.64285714285714
"486" "positiu" 2 "pares" 48 26 "casat" "reg_no" "fixe" 60 110 10000 0 1300 1700 76.4705882352941 1.84615384615385
"487" "positiu" 20 "escriptura" 54 59 "casat" "reg_no" "autonom" 60 87 3500 0 500 984 50.8130081300813 2.916
"488" "positiu" 30 "lloguer" 60 54 "casat" "reg_no" "fixe" 54 93 0 0 1000 1387 72.0980533525595 2.34
"489" "positiu" 12 "escriptura" 48 27 "casat" "reg_si" "fixe" 45 110 5000 1300 450 1636 27.5061124694377 5.54666666666667
"490" "positiu" 2 "lloguer" 60 28 "solter" "reg_no" "fixe" 43 81 0 0 1000 1135 88.1057268722467 2.28
"491" "negatiu" 3 "escriptura" 60 53 "casat" "reg_no" "fixe" 45 98 3500 0 1350 1453 92.9112181693049 2.35555555555556
"492" "positiu" 7 "escriptura" 60 48 "casat" "reg_no" "autonom" 60 155 4500 0 1400 1500 93.3333333333333 4.07142857142857
"493" "positiu" 4 "escriptura" 48 30 "casat" "reg_no" "fixe" 60 167 3500 1000 800 1350 59.2592592592593 5.82
"494" "positiu" 14 "contr_privat" 60 28 "casat" "reg_no" "fixe" 60 190 18000 0 1850 2247 82.3319982198487 4.21621621621622
"495" "positiu" 10 "escriptura" 60 34 "casat" "reg_no" "fixe" 75 110 2500 300 1150 1367 84.1258229700073 1.6695652173913
"496" "negatiu" 3 "escriptura" 60 33 "divorciat" "reg_no" "autonom" 35 120 6000 0 950 950 100 5.36842105263158
"497" "negatiu" 12 "lloguer" 60 55 "casat" "reg_si" "fixe" 62 170 0 0 1800 2154 83.5654596100279 3.6
"498" "negatiu" 20 "escriptura" 36 40 "solter" "reg_si" "autonom" 35 104 8500 400 750 1100 68.1818181818182 3.12
"499" "positiu" 5 "pares" 60 28 "solter" "reg_no" "fixe" 35 70 0 0 900 1492 60.3217158176944 2.33333333333333
"500" "negatiu" 2 "escriptura" 60 31 "solter" "reg_no" "fixe" 35 55 7500 0 800 1351 59.2153960029608 1.5
"501" "negatiu" 30 "pares" 60 56 "casat" "reg_no" "fixe" 45 80 10000 0 1500 2040 73.5294117647059 1.4
"502" "positiu" 3 "escriptura" 60 38 "casat" "reg_si" "temporal" 75 81 4000 0 1000 1037 96.4320154291225 0.36
"503" "negatiu" 0 "altres_viv" 48 25 "solter" "reg_no" "fixe" 35 139 0 0 1200 1202 99.8336106489185 4.16
"504" "positiu" 0 "lloguer" 48 35 "casat" "reg_no" "fixe" 66 206 0 0 1500 1683 89.126559714795 4.48
"505" "negatiu" 5 "altres_viv" 24 41 "divorciat" "reg_no" "autonom" 35 61 0 0 500 1000 50 1.248
"506" "positiu" 3 "pares" 48 31 "solter" "reg_no" "fixe" 35 120 0 0 1000 1100 90.9090909090909 4.08
"507" "positiu" 30 "altres_viv" 48 52 "casat" "reg_no" "autonom" 90 300 12000 0 1700 1734 98.0392156862745 5.92941176470588
"508" "positiu" 13 "contr_privat" 60 33 "casat" "reg_no" "fixe" 75 224 7000 0 1600 1604 99.7506234413965 5.5875
"509" "positiu" 0 "lloguer" 60 30 "casat" "reg_no" "fixe" 68 80 0 0 1000 1330 75.187969924812 0.72
"510" "negatiu" 3 "escriptura" 60 37 "casat" "reg_no" "temporal" 90 166 3000 0 800 877 91.2200684150513 5.7
"511" "positiu" 0 "escriptura" 36 54 "casat" "reg_no" "temporal" 60 110 11500 0 1100 1759 62.5355315520182 1.63636363636364
"512" "negatiu" 7 "pares" 48 32 "casat" "reg_si" "fixe" 45 161 0 0 970 1564 62.0204603580563 5.74020618556701
"513" "positiu" 4 "escriptura" 60 23 "casat" "reg_no" "fixe" 45 80 4000 0 1100 1306 84.2266462480858 1.90909090909091
"514" "positiu" 10 "escriptura" 24 39 "casat" "reg_no" "fixe" 75 150 3000 0 500 1108 45.1263537906137 3.6
"515" "negatiu" 1 "lloguer" 36 28 "solter" "reg_no" "autonom" 52 170 0 0 350 1500 23.3333333333333 12.1371428571429
"516" "positiu" 2 "pares" 60 43 "casat" "reg_no" "fixe" 45 100 0 0 1500 1645 91.1854103343465 2.2
"517" "positiu" 30 "lloguer" 60 50 "casat" "reg_no" "autonom" 68 225 10000 0 1300 1500 86.6666666666667 7.24615384615385
"518" "positiu" 3 "lloguer" 60 41 "casat" "reg_si" "fixe" 77 166 0 0 2200 2625 83.8095238095238 2.42727272727273
"519" "positiu" 0 "pares" 36 27 "solter" "reg_no" "fixe" 45 200 5000 0 800 1456 54.9450549450549 6.975
"520" "positiu" 10 "escriptura" 42 25 "casat" "reg_no" "fixe" 45 110 3000 0 1500 2178 68.870523415978 1.82
"521" "positiu" 4 "lloguer" 36 35 "solter" "reg_no" "fixe" 46 110 0 0 1000 1642 60.9013398294762 2.304
"522" "positiu" 1 "escriptura" 60 31 "casat" "reg_no" "temporal" 45 160 4000 300 1200 1265 94.8616600790514 5.6
"523" "positiu" 13 "pares" 36 43 "solter" "reg_no" "fixe" 35 204 0 0 200 325 61.5384615384615 30.42
"524" "negatiu" 4 "pares" 60 28 "casat" "reg_no" "temporal" 45 135 0 0 1350 1471 91.7743031951054 4
"525" "positiu" 1 "pares" 48 22 "solter" "reg_no" "autonom" 45 158 0 0 260 1440 18.0555555555556 20.8615384615385
"526" "positiu" 8 "escriptura" 60 42 "casat" "reg_si" "autonom" 75 290 10000 0 1200 2140 56.0747663551402 10.75
"527" "positiu" 14 "escriptura" 60 41 "casat" "reg_no" "fixe" 60 100 6000 0 450 1377 32.6797385620915 5.33333333333333
"528" "positiu" 6 "escriptura" 60 29 "casat" "reg_no" "fixe" 60 115 6000 2000 1250 1780 70.2247191011236 1.68
"529" "positiu" 1 "escriptura" 18 27 "casat" "reg_no" "temporal" 45 149 2000 0 700 818 85.5745721271394 2.67428571428571
"530" "positiu" 16 "escriptura" 60 32 "casat" "reg_si" "fixe" 75 143 4000 0 650 1017 63.913470993117 6.27692307692308
"531" "positiu" 10 "pares" 36 27 "casat" "reg_si" "fixe" 60 150 0 0 1000 1788 55.9284116331096 3.24
"532" "positiu" 11 "pares" 48 37 "solter" "reg_no" "fixe" 35 199 10000 0 1100 1212 90.7590759075908 7.15636363636364
"533" "positiu" 40 "lloguer" 36 59 "casat" "reg_no" "fixe" 59 142 0 0 1000 1800 55.5555555555556 2.988
"534" "negatiu" 13 "escriptura" 54 52 "casat" "reg_no" "fixe" 75 80 4000 0 1300 1394 93.2568149210904 0.207692307692308
"535" "negatiu" 7 "lloguer" 36 25 "casat" "reg_no" "fixe" 69 93 0 0 250 400 62.5 3.456
"536" "positiu" 3 "pares" 36 24 "divorciat" "reg_no" "fixe" 45 113 0 0 850 940 90.4255319148936 2.88
"537" "positiu" 13 "pares" 48 51 "casat" "reg_no" "fixe" 45 92 3000 500 1220 1433 85.1360781577111 1.65245901639344
"538" "positiu" 7 "escriptura" 36 39 "casat" "reg_no" "autonom" 75 205 4000 0 1300 1439 90.3405142460042 3.6
"539" "positiu" 7 "escriptura" 60 33 "solter" "reg_no" "fixe" 35 210 6000 0 1700 2414 70.4225352112676 6.17647058823529
"540" "positiu" 4 "escriptura" 24 31 "casat" "reg_no" "fixe" 60 256 3000 0 600 1571 38.1922342457034 7.84
"541" "positiu" 5 "lloguer" 36 30 "casat" "reg_no" "autonom" 101 260 0 0 1000 1500 66.6666666666667 5.724
"542" "positiu" 7 "escriptura" 60 24 "casat" "reg_no" "fixe" 45 106 2500 0 1200 1258 95.389507154213 3.05
"543" "positiu" 10 "escriptura" 48 31 "casat" "reg_no" "fixe" 60 160 4500 0 450 1403 32.0741268709907 10.6666666666667
"544" "positiu" 16 "escriptura" 60 39 "casat" "reg_no" "fixe" 60 148 3500 0 750 1346 55.7206537890045 7.04
"545" "positiu" 2 "escriptura" 36 42 "casat" "reg_no" "fixe" 75 220 3500 0 1500 2195 68.3371298405467 3.48
"546" "positiu" 6 "escriptura" 36 37 "casat" "reg_no" "autonom" 75 63 4000 50 800 1637 48.8698839340257 -0.5625
"547" "positiu" 3 "escriptura" 36 38 "casat" "reg_no" "fixe" 75 106 8500 0 2375 2375 100 0.469894736842105
"548" "negatiu" 16 "escriptura" 60 42 "casat" "reg_no" "fixe" 75 81 3500 0 870 873 99.6563573883162 0.413793103448276
"549" "negatiu" 1 "pares" 60 23 "solter" "reg_no" "fixe" 35 100 0 0 1210 1450 83.448275862069 3.22314049586777
"550" "negatiu" 0 "altres_viv" 60 40 "casat" "reg_si" "fixe" 75 260 2500 0 1500 1607 93.3416303671438 7.4
"551" "positiu" 12 "escriptura" 24 36 "casat" "reg_no" "fixe" 60 243 6000 0 600 1376 43.6046511627907 7.32
"552" "positiu" 1 "lloguer" 60 27 "solter" "reg_no" "fixe" 44 88 0 0 1000 1092 91.5750915750916 2.64
"553" "positiu" 40 "escriptura" 24 60 "casat" "reg_no" "autonom" 75 186 8000 0 900 1307 68.8599846977812 2.96
"554" "positiu" 30 "escriptura" 48 45 "casat" "reg_no" "fixe" 75 105 10000 2400 830 1128 73.5815602836879 0.346987951807229
"555" "positiu" 5 "escriptura" 48 65 "casat" "reg_no" "autonom" 75 80 30000 2000 700 1698 41.2249705535925 -1.02857142857143
"556" "positiu" 10 "contr_privat" 60 40 "casat" "reg_no" "fixe" 60 154 1500 0 825 1075 76.7441860465116 6.83636363636364
"557" "negatiu" 13 "lloguer" 60 40 "divorciat" "reg_no" "autonom" 64 35 2500 0 1920 1920 100 -0.90625
"558" "positiu" 3 "lloguer" 48 33 "casat" "reg_no" "fixe" 66 63 2000 0 800 1298 61.633281972265 -0.18
"559" "negatiu" 0 "altres_viv" 36 28 "casat" "reg_si" "altres sit" 45 297 8000 0 1360 1362 99.8531571218796 6.67058823529412
"560" "negatiu" 1 "lloguer" 60 33 "casat" "reg_no" "fixe" 91 161 0 0 1700 1770 96.045197740113 2.47058823529412
"561" "positiu" 25 "escriptura" 36 51 "divorciat" "reg_no" "autonom" 35 200 5000 0 1700 2022 84.0751730959446 3.49411764705882
"562" "positiu" 11 "contr_privat" 48 31 "casat" "reg_no" "fixe" 45 140 4000 0 700 1225 57.1428571428571 6.51428571428571
"563" "positiu" 7 "escriptura" 12 36 "casat" "reg_no" "fixe" 90 125 20000 0 375 724 51.7955801104972 1.12
"564" "positiu" 4 "pares" 24 23 "solter" "reg_no" "fixe" 35 78 3000 0 500 1346 37.147102526003 2.064
"565" "negatiu" 5 "altres_viv" 60 33 "solter" "reg_no" "fixe" 35 57 0 0 1000 1415 70.6713780918728 1.32
"566" "positiu" 31 "lloguer" 60 51 "casat" "reg_si" "fixe" 135 300 0 0 1000 1380 72.463768115942 9.9
"567" "negatiu" 0 "altres_viv" 60 31 "casat" "reg_no" "autonom" 60 140 0 0 1400 1500 93.3333333333333 3.42857142857143
"568" "positiu" 10 "escriptura" 36 32 "casat" "reg_no" "autonom" 75 202 2100 0 900 900 100 5.08
"569" "positiu" 16 "escriptura" 48 50 "casat" "reg_no" "fixe" 90 175 21500 1950 1100 1639 67.1140939597315 2.85818181818182
"570" "positiu" 19 "escriptura" 36 52 "casat" "reg_no" "autonom" 45 150 15000 0 1420 2220 63.963963963964 2.66197183098592
"571" "positiu" 0 "pares" 60 34 "solter" "reg_no" "altres sit" 45 158 2000 0 1020 1600 63.75 6.64705882352941
"572" "negatiu" 3 "altres_viv" 36 25 "solter" "reg_no" "fixe" 45 96 0 0 900 1270 70.8661417322835 2.04
"573" "positiu" 1 "escriptura" 48 28 "casat" "reg_no" "temporal" 45 123 4000 1978 1100 1556 70.694087403599 2.54050909090909
"574" "negatiu" 1 "lloguer" 48 36 "casat" "reg_no" "autonom" 88 125 0 0 1500 1878 79.8722044728434 1.184
"575" "negatiu" 0 "escriptura" 60 27 "casat" "reg_no" "temporal" 45 113 3000 1500 1200 1532 78.3289817232376 2.65
"576" "positiu" 2 "escriptura" 24 26 "casat" "reg_si" "autonom" 45 167 4000 0 340 900 37.7777777777778 8.61176470588235
"577" "negatiu" 4 "lloguer" 36 24 "casat" "reg_si" "fixe" 75 148 0 0 900 1100 81.8181818181818 2.92
"578" "negatiu" 0 "contr_privat" 60 47 "casat" "reg_no" "temporal" 75 156 2000 200 600 1556 38.560411311054 7.9
"579" "positiu" 13 "escriptura" 48 40 "casat" "reg_no" "fixe" 60 123 4000 0 900 1054 85.3889943074004 3.36
"580" "negatiu" 1 "escriptura" 60 42 "casat" "reg_no" "temporal" 120 143 5500 2000 1160 1285 90.272373540856 0.155172413793103
"581" "negatiu" 17 "lloguer" 48 52 "casat" "reg_no" "fixe" 93 180 0 0 1200 1338 89.6860986547085 3.48
"582" "negatiu" 0 "altres_viv" 60 26 "solter" "reg_no" "altres sit" 35 58 0 0 1200 1571 76.3844684914067 1.15
"583" "positiu" 5 "lloguer" 36 45 "casat" "reg_no" "altres sit" 90 150 10000 0 1100 1556 70.694087403599 1.96363636363636
"584" "positiu" 17 "escriptura" 60 47 "casat" "reg_no" "fixe" 60 92 4500 0 1100 1194 92.1273031825796 1.74545454545455
"585" "positiu" 8 "escriptura" 60 25 "casat" "reg_no" "fixe" 45 139 4000 1300 1450 1556 93.1876606683805 3.35172413793103
"586" "positiu" 0 "escriptura" 60 50 "casat" "reg_no" "fixe" 75 250 15500 0 1000 1989 50.2765208647562 10.5
"587" "positiu" 5 "escriptura" 6 44 "casat" "reg_no" "fixe" 75 315 13000 0 500 2624 19.0548780487805 2.88
"588" "negatiu" 8 "escriptura" 36 48 "casat" "reg_si" "fixe" 35 121 3000 0 400 925 43.2432432432432 7.74
"589" "positiu" 3 "escriptura" 48 19 "solter" "reg_no" "fixe" 35 180 4000 0 800 1128 70.9219858156028 8.7
"590" "positiu" 18 "escriptura" 48 48 "casat" "reg_si" "fixe" 105 129 3000 0 780 2220 35.1351351351351 1.47692307692308
"591" "positiu" 22 "escriptura" 60 46 "casat" "reg_no" "fixe" 90 214 8000 0 1120 1395 80.2867383512545 6.64285714285714
"592" "positiu" 12 "escriptura" 60 50 "casat" "reg_no" "fixe" 45 99 5000 0 1100 1137 96.7458223394899 2.94545454545455
"593" "positiu" 12 "pares" 36 30 "casat" "reg_no" "autonom" 75 110 0 0 800 875 91.4285714285714 1.575
"594" "negatiu" 13 "contr_privat" 60 30 "casat" "reg_si" "fixe" 75 85 3500 0 1100 1417 77.6287932251235 0.545454545454546
"595" "positiu" 3 "escriptura" 18 39 "casat" "reg_si" "fixe" 90 138 7000 0 500 700 71.4285714285714 1.728
"596" "positiu" 1 "escriptura" 60 27 "casat" "reg_no" "fixe" 60 93 4000 0 1000 1207 82.8500414250207 1.98
"597" "positiu" 29 "escriptura" 60 52 "casat" "reg_no" "fixe" 75 100 3000 0 1100 1268 86.7507886435331 1.36363636363636
"598" "positiu" 1 "lloguer" 48 42 "casat" "reg_no" "autonom" 76 160 0 0 1200 1326 90.4977375565611 3.36
"599" "negatiu" 3 "altres_viv" 36 22 "casat" "reg_no" "fixe" 45 215 0 0 1470 1480 99.3243243243243 4.16326530612245
"600" "positiu" 23 "pares" 60 43 "solter" "reg_no" "fixe" 35 90 3500 0 1050 1228 85.5048859934853 3.14285714285714
"601" "positiu" 20 "escriptura" 36 36 "casat" "reg_no" "fixe" 90 464 5000 0 2000 2168 92.2509225092251 6.732
"602" "positiu" 5 "contr_privat" 60 23 "casat" "reg_no" "fixe" 35 167 7000 2160 1650 2100 78.5714285714286 4.01454545454545
"603" "positiu" 3 "lloguer" 60 40 "casat" "reg_no" "fixe" 84 86 0 0 1000 1197 83.5421888053467 0.12
"604" "negatiu" 1 "contr_privat" 24 50 "casat" "reg_no" "autonom" 60 125 5000 3000 360 510 70.5882352941177 2.33333333333333
"605" "positiu" 15 "escriptura" 36 52 "casat" "reg_no" "fixe" 105 274 8000 0 300 325 92.3076923076923 20.28
"606" "positiu" 10 "escriptura" 36 38 "casat" "reg_no" "fixe" 75 135 5500 1440 690 1000 69 2.37913043478261
"607" "negatiu" 0 "pares" 48 35 "casat" "reg_si" "fixe" 60 300 0 0 1400 1748 80.091533180778 8.22857142857143
"608" "negatiu" 9 "escriptura" 60 34 "casat" "reg_si" "autonom" 75 300 4000 300 1000 1392 71.8390804597701 13.32
"609" "positiu" 9 "lloguer" 60 34 "casat" "reg_no" "fixe" 103 128 0 0 500 820 60.9756097560976 3
"610" "positiu" 25 "escriptura" 18 49 "casat" "reg_no" "autonom" 90 90 4000 0 300 1275 23.5294117647059 0
"611" "negatiu" 19 "escriptura" 60 37 "solter" "reg_si" "fixe" 35 115 10000 6000 1500 1758 85.3242320819113 0.8
"612" "positiu" 10 "lloguer" 60 33 "casat" "reg_no" "fixe" 56 107 0 0 600 1250 48 5.1
"613" "positiu" 10 "escriptura" 60 34 "casat" "reg_no" "autonom" 75 300 11000 0 1000 1560 64.1025641025641 13.5
"614" "positiu" 10 "escriptura" 48 42 "casat" "reg_no" "autonom" 105 230 30000 5000 1200 1570 76.4331210191083 3
"615" "positiu" 4 "escriptura" 24 32 "casat" "reg_no" "fixe" 45 122 4000 1 500 1045 47.8468899521531 3.69552
"616" "positiu" 1 "pares" 36 19 "solter" "reg_no" "temporal" 35 43 0 0 425 500 85 0.677647058823529
"617" "positiu" 1 "escriptura" 48 45 "casat" "reg_no" "autonom" 90 250 4000 0 1700 1800 94.4444444444444 4.51764705882353
"618" "positiu" 19 "pares" 12 41 "casat" "reg_no" "autonom" 90 190 500 0 500 1600 31.25 2.4
"619" "positiu" 6 "escriptura" 60 25 "casat" "reg_no" "autonom" 45 100 3500 2500 950 1177 80.71367884452 1.89473684210526
"620" "positiu" 2 "lloguer" 48 19 "solter" "reg_no" "autonom" 60 246 20500 0 1370 1371 99.927060539752 6.51678832116788
"621" "negatiu" 11 "lloguer" 36 59 "casat" "reg_no" "fixe" 69 85 0 0 850 1100 77.2727272727273 0.677647058823529
"622" "positiu" 20 "lloguer" 36 56 "casat" "reg_si" "fixe" 77 173 0 0 1100 1256 87.5796178343949 3.14181818181818
"623" "positiu" 18 "lloguer" 48 42 "casat" "reg_si" "autonom" 75 150 0 0 1000 1469 68.073519400953 3.6
"624" "negatiu" 0 "pares" 60 38 "casat" "reg_no" "temporal" 90 86 5000 0 1600 1682 95.1248513674197 -0.15
"625" "positiu" 0 "pares" 60 22 "solter" "reg_no" "temporal" 45 183 4000 0 1150 1150 100 7.2
"626" "negatiu" 1 "lloguer" 36 44 "divorciat" "reg_no" "altres sit" 55 100 0 0 675 675 100 2.4
"627" "positiu" 1 "escriptura" 60 31 "casat" "reg_no" "fixe" 60 94 2500 0 900 1236 72.8155339805825 2.26666666666667
"628" "positiu" 25 "escriptura" 48 49 "casat" "reg_no" "fixe" 60 150 6000 0 650 1265 51.3833992094862 6.64615384615385
"629" "positiu" 15 "lloguer" 60 55 "casat" "reg_no" "autonom" 74 140 0 0 1000 1204 83.0564784053156 3.96
"630" "negatiu" 21 "lloguer" 60 55 "vidu" "reg_no" "fixe" 56 107 0 0 1100 1353 81.3008130081301 2.78181818181818
"631" "positiu" 10 "contr_privat" 36 38 "casat" "reg_si" "fixe" 60 117 4030 0 950 1330 71.4285714285714 2.16
"632" "positiu" 12 "escriptura" 60 60 "casat" "reg_no" "fixe" 60 230 12000 0 950 1200 79.1666666666667 10.7368421052632
"633" "negatiu" 10 "lloguer" 60 58 "divorciat" "reg_no" "autonom" 82 470 0 0 1350 1488 90.7258064516129 17.2444444444444
"634" "positiu" 20 "altres_viv" 36 39 "casat" "reg_no" "fixe" 60 102 0 0 650 1695 38.3480825958702 2.32615384615385
"635" "positiu" 10 "escriptura" 60 34 "casat" "reg_no" "fixe" 75 210 6000 0 900 1547 58.1771170006464 9
"636" "positiu" 1 "pares" 60 21 "solter" "reg_no" "temporal" 35 42 0 0 1100 1112 98.9208633093525 0.381818181818182
"637" "positiu" 5 "lloguer" 60 37 "solter" "reg_no" "fixe" 48 130 0 0 600 1062 56.4971751412429 8.2
"638" "negatiu" 2 "contr_privat" 48 25 "casat" "reg_no" "temporal" 45 90 3000 2000 800 1567 51.0529674537332 1.5
"639" "positiu" 15 "pares" 36 39 "solter" "reg_no" "fixe" 60 120 0 0 900 900 100 2.4
"640" "positiu" 1 "pares" 60 22 "casat" "reg_no" "fixe" 60 117 0 0 1100 1280 85.9375 3.10909090909091
"641" "positiu" 11 "escriptura" 30 35 "casat" "reg_no" "fixe" 75 160 4000 0 700 1340 52.2388059701493 3.64285714285714
"642" "positiu" 3 "lloguer" 60 50 "casat" "reg_no" "temporal" 69 90 0 0 1300 1490 87.248322147651 0.969230769230769
"643" "negatiu" 2 "altres_viv" 36 49 "casat" "reg_si" "altres sit" 45 50 0 0 1600 2640 60.6060606060606 0.1125
"644" "positiu" 15 "escriptura" 48 30 "casat" "reg_no" "autonom" 75 100 27000 5000 900 900 100 -1.33333333333333
"645" "positiu" 13 "escriptura" 60 32 "casat" "reg_no" "fixe" 75 182 5000 2500 1300 1569 82.855321861058 3.78461538461538
"646" "negatiu" 11 "lloguer" 60 37 "solter" "reg_si" "fixe" 74 135 0 0 1400 1937 72.2767165720186 2.61428571428571
"647" "positiu" 2 "escriptura" 60 24 "casat" "reg_no" "temporal" 45 67 4100 2800 1400 1403 99.7861724875267 -0.257142857142857
"648" "positiu" 32 "escriptura" 24 63 "casat" "reg_no" "autonom" 45 700 90000 0 1000 1501 66.6222518321119 15.72
"649" "negatiu" 1 "escriptura" 60 25 "casat" "reg_no" "temporal" 60 137 2700 1900 1150 1255 91.6334661354582 3.02608695652174
"650" "positiu" 3 "lloguer" 54 23 "casat" "reg_no" "fixe" 59 140 0 0 1300 1345 96.6542750929368 3.36461538461539
"651" "negatiu" 1 "pares" 60 22 "solter" "reg_no" "fixe" 35 85 0 0 1950 2134 91.377694470478 1.53846153846154
"652" "positiu" 37 "escriptura" 60 52 "casat" "reg_no" "fixe" 45 324 7000 0 1550 1590 97.4842767295598 10.8
"653" "negatiu" 11 "lloguer" 18 39 "casat" "reg_si" "autonom" 60 100 0 0 250 400 62.5 2.88
"654" "negatiu" 0 "escriptura" 60 29 "casat" "reg_si" "fixe" 45 100 4500 0 1200 1406 85.348506401138 2.75
"655" "negatiu" 5 "lloguer" 60 43 "solter" "reg_no" "autonom" 39 42 0 0 1600 1872 85.4700854700855 0.1125
"656" "positiu" 4 "escriptura" 60 35 "casat" "reg_no" "fixe" 60 251 6500 4000 1000 1123 89.0471950133571 9.06
"657" "positiu" 1 "pares" 60 27 "solter" "reg_no" "fixe" 35 180 0 0 1000 1067 93.7207122774133 8.7
"658" "negatiu" 10 "pares" 60 34 "casat" "reg_si" "autonom" 60 400 12000 0 2075 2253 92.0994229915668 9.83132530120482
"659" "positiu" 20 "lloguer" 36 39 "casat" "reg_no" "fixe" 91 158 0 0 380 580 65.5172413793103 6.34736842105263
"660" "positiu" 1 "escriptura" 36 51 "casat" "reg_no" "fixe" 75 300 6000 0 1450 1992 72.7911646586345 5.58620689655172
"661" "positiu" 15 "lloguer" 12 35 "divorciat" "reg_no" "fixe" 44 90 9000 0 400 1400 28.5714285714286 1.38
"662" "positiu" 12 "escriptura" 60 33 "casat" "reg_si" "autonom" 90 146 15000 0 1150 1284 89.5638629283489 2.92173913043478
"663" "positiu" 0 "escriptura" 60 30 "casat" "reg_si" "fixe" 75 255 4000 0 1500 1749 85.7632933104631 7.2
"664" "positiu" 5 "escriptura" 60 25 "solter" "reg_no" "autonom" 35 250 14000 0 1400 2125 65.8823529411765 9.21428571428572
"665" "positiu" 6 "escriptura" 60 53 "casat" "reg_no" "autonom" 45 50 16000 0 1000 1505 66.4451827242525 0.3
"666" "positiu" 6 "lloguer" 60 26 "casat" "reg_no" "fixe" 60 150 0 0 1200 1376 87.2093023255814 4.5
"667" "positiu" 1 "escriptura" 60 61 "casat" "reg_si" "autonom" 45 800 97000 2900 1200 2154 55.7103064066852 36.3
"668" "positiu" 35 "altres_viv" 60 63 "vidu" "reg_no" "fixe" 35 190 0 0 750 1138 65.9050966608084 12.4
"669" "positiu" 9 "lloguer" 60 30 "casat" "reg_no" "fixe" 63 178 0 0 1680 1931 87.0015535991714 4.10714285714286
"670" "positiu" 12 "escriptura" 60 43 "casat" "reg_si" "fixe" 75 254 14000 2900 1200 1698 70.6713780918728 7.5
"671" "positiu" 20 "lloguer" 60 35 "solter" "reg_no" "fixe" 56 110 0 0 1000 1279 78.1860828772479 3.24
"672" "negatiu" 15 "escriptura" 36 49 "casat" "reg_no" "autonom" 75 70 3572 1728 1650 2755 59.8911070780399 -0.486109090909091
"673" "negatiu" 3 "lloguer" 60 34 "casat" "reg_si" "fixe" 85 100 0 0 1000 1600 62.5 0.9
"674" "positiu" 2 "escriptura" 60 26 "casat" "reg_si" "fixe" 60 137 4000 350 1200 2200 54.5454545454545 3.675
"675" "positiu" 4 "lloguer" 42 41 "casat" "reg_no" "autonom" 90 150 10000 0 1300 2260 57.5221238938053 1.93846153846154
"676" "positiu" 10 "escriptura" 60 30 "casat" "reg_si" "fixe" 60 242 7500 0 1550 1904 81.4075630252101 7.04516129032258
"677" "positiu" 9 "escriptura" 60 51 "casat" "reg_no" "fixe" 90 85 4000 0 1380 1580 87.3417721518987 -0.217391304347826
"678" "negatiu" 35 "escriptura" 36 51 "casat" "reg_no" "autonom" 45 210 11700 0 1300 2810 46.2633451957295 4.56923076923077
"679" "positiu" 1 "lloguer" 36 40 "casat" "reg_no" "fixe" 58 125 0 0 700 700 100 3.44571428571429
"680" "positiu" 30 "pares" 24 53 "casat" "reg_no" "autonom" 90 500 0 0 600 1100 54.5454545454545 16.4
"681" "positiu" 12 "altres_viv" 60 33 "casat" "reg_no" "fixe" 60 140 0 0 1650 1910 86.3874345549738 2.90909090909091
"682" "negatiu" 1 "lloguer" 60 24 "casat" "reg_no" "fixe" 52 70 0 0 1200 1360 88.2352941176471 0.9
"683" "positiu" 3 "lloguer" 60 25 "casat" "reg_no" "fixe" 60 150 0 0 700 1030 67.9611650485437 7.71428571428571
"684" "negatiu" 15 "escriptura" 36 44 "casat" "reg_si" "fixe" 90 245 4000 0 375 460 81.5217391304348 14.88
"685" "positiu" 2 "escriptura" 60 33 "casat" "reg_no" "autonom" 75 193 5000 0 1150 1339 85.8849887976102 6.15652173913043
